Process,V_DD,Temp,I_in,"V_out,min",I_out @ V_out=0.9V,Power
FF,0.9V,0°C,40µA,0.340V,40.07µA,112.57µW
FF,0.9V,0°C,45µA,0.360V,45.07µA,117.06µW
FF,0.9V,0°C,50µA,0.370V,50.12µA,121.61µW
FF,0.9V,27°C,40µA,0.370V,40.05µA,112.54µW
FF,0.9V,27°C,45µA,0.390V,45.08µA,117.07µW
FF,0.9V,27°C,50µA,0.390V,50.12µA,121.61µW
FF,0.9V,50°C,40µA,0.400V,40.09µA,112.58µW
FF,0.9V,50°C,45µA,0.410V,45.11µA,117.10µW
FF,0.9V,50°C,50µA,0.420V,50.14µA,121.63µW
FF,1.0V,0°C,40µA,0.340V,40.07µA,112.57µW
FF,1.0V,0°C,45µA,0.360V,45.07µA,117.06µW
FF,1.0V,0°C,50µA,0.370V,50.12µA,121.61µW
FF,1.0V,27°C,40µA,0.370V,40.05µA,112.54µW
FF,1.0V,27°C,45µA,0.390V,45.08µA,117.07µW
FF,1.0V,27°C,50µA,0.390V,50.12µA,121.61µW
FF,1.0V,50°C,40µA,0.400V,40.09µA,112.58µW
FF,1.0V,50°C,45µA,0.410V,45.11µA,117.10µW
FF,1.0V,50°C,50µA,0.420V,50.14µA,121.63µW
FF,1.1V,0°C,40µA,0.340V,40.07µA,112.57µW
FF,1.1V,0°C,45µA,0.360V,45.07µA,117.06µW
FF,1.1V,0°C,50µA,0.370V,50.12µA,121.61µW
FF,1.1V,27°C,40µA,0.370V,40.05µA,112.54µW
FF,1.1V,27°C,45µA,0.390V,45.08µA,117.07µW
FF,1.1V,27°C,50µA,0.390V,50.12µA,121.61µW
FF,1.1V,50°C,40µA,0.400V,40.09µA,112.58µW
FF,1.1V,50°C,45µA,0.410V,45.11µA,117.10µW
FF,1.1V,50°C,50µA,0.420V,50.14µA,121.63µW
