Process,V_DD,Temp,I_in,"V_out,min",I_out @ V_out=0.9V,Power
SS,0.9V,0°C,40µA,0.390V,40.03µA,112.53µW
SS,0.9V,0°C,45µA,0.400V,45.03µA,117.03µW
SS,0.9V,0°C,50µA,0.410V,50.02µA,121.52µW
SS,0.9V,27°C,40µA,0.420V,40.03µA,112.52µW
SS,0.9V,27°C,45µA,0.430V,45.05µA,117.04µW
SS,0.9V,27°C,50µA,0.440V,50.03µA,121.53µW
SS,0.9V,50°C,40µA,0.440V,40.05µA,112.54µW
SS,0.9V,50°C,45µA,0.460V,44.98µA,116.99µW
SS,0.9V,50°C,50µA,0.470V,49.99µA,121.49µW
SS,1.0V,0°C,40µA,0.390V,40.03µA,112.53µW
SS,1.0V,0°C,45µA,0.400V,45.03µA,117.03µW
SS,1.0V,0°C,50µA,0.410V,50.02µA,121.52µW
SS,1.0V,27°C,40µA,0.420V,40.03µA,112.52µW
SS,1.0V,27°C,45µA,0.430V,45.05µA,117.04µW
SS,1.0V,27°C,50µA,0.440V,50.03µA,121.53µW
SS,1.0V,50°C,40µA,0.440V,40.05µA,112.54µW
SS,1.0V,50°C,45µA,0.460V,44.98µA,116.99µW
SS,1.0V,50°C,50µA,0.470V,49.99µA,121.49µW
SS,1.1V,0°C,40µA,0.390V,40.03µA,112.53µW
SS,1.1V,0°C,45µA,0.400V,45.03µA,117.03µW
SS,1.1V,0°C,50µA,0.410V,50.02µA,121.52µW
SS,1.1V,27°C,40µA,0.420V,40.03µA,112.52µW
SS,1.1V,27°C,45µA,0.430V,45.05µA,117.04µW
SS,1.1V,27°C,50µA,0.440V,50.03µA,121.53µW
SS,1.1V,50°C,40µA,0.440V,40.05µA,112.54µW
SS,1.1V,50°C,45µA,0.460V,44.98µA,116.99µW
SS,1.1V,50°C,50µA,0.470V,49.99µA,121.49µW
